Job Title,Location,Company,Salary,Description,Source
Entry Level Data Analyst (STEM) Field,"Sacramento, CA",PCS Global Tech,"$60,000 a year","Responsibilities
Help write and optimize in-application SQL statements.
Ensure performance, security, and availability of databases.
Prepare documentations and specifications.
Handle common database procedures such as upgrade, backup, recovery, migration, etc.
Write TSQL scripts and objects such as stored procedures, user-defined functions, views, indexes per business requirements.
Collaborate with other team members and stakeholders.
Qualifications
BS or MS of degree in Computer Science, Information Technology, Engineering or related field is required (STEM)
Proficiency with SQL and its variation among popular databases
Good communication skills
Other Requirements:
Must be open to relocation. May state preference.
Candidate must be a eligible to work on W2 (US Citizens, Green Card Holders, OPT- EAD, H4 EAD, and Full Time CPT) are encouraged to apply.
Job Type: Full-time
Salary: $60,000.00 /year
Experience:
3 year: 1 year (Preferred)
Education:
Bachelor's (Required)
Required travel:
50% (Preferred)",Indeed
Data Entry - Analyst / Associate,"Princeton, NJ",iCapital Network,None,"iCapital Network's Data & Operations department provides onboarding support and customer service to its rapidly growing investor base. This is a newly created function within our Princeton, NJ office. In this role, you will be responsible for data entry and quality control. This role will report into the Vice President, Document Review Team Lead.

Responsibilities

Maintain fund closing reports after fund launches
Transferring data from paper formats or files into proprietary online database to create accurate investment records
Confirming both receipt and completion of data quality assurance verification through the iCapital platform
Identifying and correcting inconsistencies by employing data quality control measures
Candidate Profile

Bachelor's degree required
Excellent organizational skills and attention to detail
Ability to meet deadlines and work effectively under pressure
Proven ability to multi-task and work both independently and as a team player in a fast-paced, entrepreneurial, demanding environment
Proficient computer skills, especially Microsoft Office applications and advanced Excel formulas",Indeed
Entry Level Business Analyst,"Washington, DC",Dhatronictech,"$68,000 - $78,000 a year","We are looking for Entry Level Business Analyst.
Responsibility:
Analyze regulatory and business requirements and review and analyze system specifications
Work with software developers to implement changes from the specifications in software
Work with cross-functional teams to ensure quality throughout the software development lifecycle.
Review requirements, specifications, and technical design documents to provide timely and meaningful feedback.
Collaborate with other software engineers, developers, and designers, for continuous improvement of product quality.
Participate throughout the development release train in an agile environment that is striving for continuous integration/continuous release
Qualification:
Bachelors or Master’s degree
0-1 years of experience
MS Office: Word, Excel, PowerPoint, Visio
Excellent written and verbal communication skills
Great analytical, critical thinking and problem-solving abilities
Job Type: Full-time
Salary: $68,000.00 to $78,000.00 /year
Benefits:
Other
Schedule:
Monday to Friday",Indeed
Data Analyst,"Monmouth Junction, NJ 08852",Precision Technologies Corp.,"$60,000 - $70,000 a year","A bachelor's degree, preferably in mathematics or computer science.
Identify and collect data relevant to improving company performance.
Analyze the data to draft presentations and reports that effectively communicate its significance to the rest of the team.
Review company practices and use statistical data to streamline inefficient processes.
Familiarity with analytics software, and the ability to translate data into workable business solutions.",Indeed
Data Analyst,"Oakwood, GA",The Intersect Group,None,"Our client, located near Gainesville, GA, is seeking an Inventory Data Analyst to join their team on a contract to hire basis.

Responsibilities of the Inventory Data Analyst:
Identify fill rate and excess inventory issues and execute respective corrective actions as needed
Conduct monthly and/or quarterly Inventory Accuracy Data Reviews
Audit inventory records, identify obsolete parts and disposition appropriately
Set-up and maintain system data, acting as subject matter expert (SME) for systems questions

Requirement of the Inventory Data Analyst:
Experience with Inventory management
Excel (Pivot Tables, V-lookups, Macros)
EMA (Enterprise Assets Management) experience is preferred

If interested, please APPLY today!
IND1",Indeed
Network data analyst,"Dallas, TX",V BEYOND CORPORATION,None,"Key Responsibilities / Functions:
Visualization familiarity with Tableau, PowerBI and/or other similar tool.
Analyze large, complex, multi-dimensional data sets with a variety of analytic methods (math, statistics, machine learning, etc.) and software tools (e.g. scripting in Python, R)
Select model type, algorithms and features to optimize the accuracy of prediction/decision
Build, evaluate, and evolve machine learning models and advanced analytics as new data is available, interpretation accuracy is scored, and usage broaden and adapts
SQL database tools
Good understanding of Telecom Mobile and Wireless Data Network architecture
Required Minimum Qualifications: (Education, Technical Skills/Knowledge)
Bachelor´s degree or equivalent experience required, candidates with Bachelor’s degree in economics, statistics, engineering or computer science from a reputable institution will be a plus.
At least 7 years of experience in IT or Telecommunication
Experience in data science field
Proven experience with advanced analytic methods, from mathematics, statistical modeling to machine learning methods
Ability to absorb broad ideas and break down into meaningful minimum value product deliveries
Coding: Python, R
Familiar with database technologies and query languages
Good understanding of Telecom Mobile and Wireless Data Network architecture
Effective communication in English (written and verbal)
Job Types: Full-time, Part-time",Indeed
BI Reporting Analyst - Logistics,"Chattanooga, TN 37421","U.S. Xpress Enterprises, Inc.",None,"Who we are:
Get Loads. Service Loads. Be Relentless. Armed with a team of dedicated people and powerful technology, we are revolutionizing the transportation industry by providing custom and innovative solutions to our customers that cannot be found anywhere else. As one of the nation’s largest truckload carriers, we’re fueled by our commitment to excellence and upholding the promises we make to both our customers and our people. When we focus our varied talents on ensuring your freight moves as efficiently and safely as possible, that’s service you can count on. That’s the POWER OF U.S.
We are in search of goal-oriented, driven, innovative thinkers to join our fast-paced and relentless team.re you ready to help transform an industry? Move forward with U.S.
What’s in it for me:
Right Role. Right Tools. Right People. U.S. Xpress invests in our talent starting on day one. You will be provided with personal and professional development opportunities that compliment your interests and encourage you to build a career you’re passionate about. Whether it is employee stock options, profit-sharing, 401K, professional development, or our competitive pay, we help prepare you for the future. Be part of an organization that values out-of-the-box thinking and rewards employees for going above and beyond. Curious about the other benefits of working with us? Check out our perks below!
What you'll do
Partners with Business leadership on daily management and analysis needs, including attending operational review meetings in order to stay abreast of business and industry trends
Researches, analyzes and synthesizes data from multiple sources into business information as directed and by self-identification of business information needs
Works with senior management and business units to determine strategic objectives and identify opportunities to meet these goals
Perform root cause analyses on financial and operational reporting discrepancies and classify as actionable, nonactionable, user, and/or systems issues.
Act as the liaison between operations, back office and programming personnel in the areas of BI Reporting design, modifications and/or troubleshooting.
Create new or modify existing business processes, reporting and/or analyses using SQL, Microsoft PowerBI and Excel.
Proactively communicate and collaborate with system customers (external and internal) to analyze information needs and functional requirements and deliver the following artifacts as needed: (Functional requirements (Business Requirements Documents), iii, Use Cases, GUI, Screen and Interface designs).
Develop multidimensional semantic layer and BI query objects for end users.
Create report and report templates
Evaluates moderately complex requirements and creates detailed business requirements and technical specifications. Analyzes impact to other reports and processes.
Solves moderately complex business and system issues.
Assist business users in selecting appropriate BI tools.
Develop and manage BI training, documentation, and help desk capabilities
Shift information
Monday- Friday 8am – 5pm(or as business necessitates)
What we're looking for
Education
Bachelor's degree (B. S.) in Computer Science, Information Systems or related discipline from a four-year college or university.
Experience
3-7 years of B.I. Tools and Technical experience.
2-3 years of SQL experience required
Skills/Certifications
Advanced knowledge of Microsoft SQL Server Services (SSRS, SSIS, SSAS) and IBM iSeries
Certified Business Intelligence Professional preferred.
Proactive thinking, analytical thinking and problem solving skills
Ability to identify and resolve systems problems and work and deliver results in assigned timeframes
Ability to develop strong business knowledge with assigned area
Benefits
Medical, Dental and Vision
401K
Stock Purchase Plan
Vacation, Sick, & Personal time
Paid Holidays
Tuition Reimbursement
On-site work out facility
Work Environment / Physical Requirements – Normal office settings.
Employees are required to maintain proper attendance and punctuality to ensure that the department is operated in an efficient and cost-effective manner. Unless otherwise noted, the position requires work on an USX site or USX customer location site while performing the essential functions of this position.
This job description indicates the general nature and level of work expected for this position. It is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities. Employees performing this job may be asked to perform other duties as required and the responsibilities of the position may change. Reasonable accommodations will be made to enable individuals with disabilities to perform the essential functions.
U.S. Xpress is an Equal Opportunity Employer committed to creating and maintaining a diverse workforce.
Job Type: Full-time
Experience:
SQL: 2 years (Required)
Education:
Bachelor's (Required)
Location:
4080 Jenkins Road, Chattanooga, TN (Required)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Paid time off
Tuition reimbursement
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Aggressive -- competitive and growth-oriented
Outcome-oriented -- results-focused with strong performance culture
Stable -- traditional, stable, strong processes
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative",Indeed
Business Analyst,"Annville, PA 17003",PushPros.com Inc,"$35,000 - $55,000 a year","PushPros is a fast-growing technology and services company catering to small- to medium-sized businesses around the globe. We're growing at a 20-30%+ rate monthly, and are looking for key team members to assist in continuing to drive this growth and cutting-edge technology. We're a fun, fast-paced, data-driven team, relentlessly focused on serving our clients’ needs, all while giving back to our community in the process. We have a world-class team of developers, ninja marketers, content creators and data junkies.
Position Overview
Drive user acquisition and monetization through understanding and interpreting trends in the market
Build and optimize campaigns weekly
Monitor and scale multiple accounts and verticals, prioritizing by revenue opportunity
Analyze data against the defined campaign success metrics
Interpret web analytics, demographic data, market research, and buyer behaviors
Conduct competitive research to stay informed on fluctuations and changes
Implement regular testing cycles for new content, creatives, audiences, and bid strategies
Candidate Overview
Enthusiastic and ambitious: looking to grow and make an impact
Adaptable: learning in a fast-paced environment and adjusting to changing priorities
Creative: generating new, out-of-the box ideas
Communicative: establishing, developing, and maintaining business relationships
Analytical: optimizing campaigns, giving actionable recommendations based on data-driven analysis
Resourceful: solving unstructured problems with little to no supervision in a fast-paced environment
Team player: contributing to the business along with team members and managers
Proactive: self-motivated to complete projects
Preferred Experience
Google Analytics, Facebook, RevContent, Taboola, or other media buying platforms
Proficient in Excel and/or Tableau
Bachelor’s degree or equivalent experience
Ability to interpret business analytics
Why PushPros?
Professional growth opportunities include attending conferences and accessing digital trainings
The work hard/play hard culture includes afternoon Nerf gun battles!
Casual dress code
Work with an industry-leading company that continues to experience tremendous growth
Unlimited coffee and snacks are provided, as well as Friday team lunches
Leaders value each employee, and are committed to the team’s growth and success
Part of the company culture is investing in the less fortunate, both locally and internationally
More about PushPros
Our team is relentlessly committed to finding new & innovative ways to grow our highly-engaged audience and connect these users with the top-tier advertisers who can’t reach them anywhere else. We're constantly testing and retesting with our marketing and engaged audiences to ensure we provide the highest value content to our millions of users.
We own and manage websites for our clients, and work with other marketing agencies to make sure our end users are receiving valuable, engaging content on their mobile and desktop devices. We use a top-notch technology platform with push notifications to deliver this content to our end users.
Job Type: Full-time
Salary: $35,000.00 to $55,000.00 /year
Experience:
business analysis: 3 years (Preferred)
Application Question:
Why do you want to work for Aimtell/PushPros?
Work Location:
One location
Benefits offered:
Paid time off
Health insurance
Dental insurance
Retirement benefits or accounts
Gym memberships or discounts
Workplace perks such as food/coffee and flexible work schedules
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Outcome-oriented -- results-focused with strong performance culture
Team-oriented -- cooperative and collaborative
Schedule:
Monday to Friday
Work Remotely:
Temporarily due to COVID-19",Indeed
Business Analyst - Backoffice,"Dallas, TX 75201",Elan Partners,None,"Business Analyst - Backoffice
Working in a team environment, the Business Analyst works on a team that specifically focuses on support for the client's Back Office. The Business Analyst will manage the implementation and upgrades of operation and accounting systems as well as integrations of those systems. Will work in tandem or alone to analyze business partner’s operations to understand their strengths and weaknesses to determine opportunities to solve business and technical issues. Will develop business requirements and seek out and implement operational improvements.
Requirements
BS in Information Systems, Computer Science, or equivalent experience
3+ years of Business Analysis experience
Must possess very strong communication and problem solving skills
Experience with business process reengineering initiatives; modeling and analyzing (as-is/to-be) processes, mapping primary and exception workflows, and identifying business rules is required
Strong organizational skills with the ability to prioritize work effectively
Deadline driven with a strong attention to detail
Sound business judgment and decision- making abilities
Strategic Business Process Automation skills
Customer Service and Quality focused with proven process improvement skills
Innovative problem solving, analytical and execution skills
Excellent written and verbal communication skills
Ability to work within and in support of a team environment
Preferred skills:
Some experience with Product Management
Experience with systems project management
Experience with automated workflow solutions
Experience with SQL
Experience developing training curriculum and material is a plus
Responsibilities include:
Develop and/or enhance Business Applications or tools by selecting, tailoring and implementing third-party packages, tools or components
Support back office systems including user administration, configuration, report design, upgrade and implementation planning and execution, documentation and user training
Develop and implement training procedures and integration or conversion strategies for new systems
Use creative skills to identify and recommend automation and application improvement solutions for business
Provide Product Management functions for internally developed applications, including strategic planning to tactical execution and through to support and documentation functions
Provide basic project management responsibilities to ensure risks are mitigated, scope is managed, appropriate communication is achieved and milestones are met
Analyze and develop requirements and specifications that address business functions and workflow
Develop Test Cases and test Applications thoroughly, when implementing system modifications, upgrades, disaster recovery, etc., utilizing users where appropriate.
Learn utility applications such as Document Management and workflow, making recommendations for integration where applicable
Support internal and external customers as a business consultant and problem solver with an emphasis on extraordinary customer service
Benefits of working for our client:
Some remote work is offered
Excellent benefits (low cost for employees)
Matching 401K
20 days of PTO plus 13 Holidays
Casual work environment
Excellent opportunity for growth",Indeed
Pharmaceutical Data Analyst,"Rockville, MD 20850",Essential Software Inc.,"$100,000 - $125,000 a year","ESI provides direct support to Leidos Biomedical Research, Inc. (Leidos Biomed) in its support of the National Cancer Institute (NCI) and its mission to accelerate the prevention and treatment of cancer. Leidos Biomed's support of NCI includes the management and execution of projects sponsored by the NCI Center for Biomedical Informatics and Information Technology (CBIIT).
ESI has an opening for an IT Project Manager to support the development of the data strategy for the ATOM initiative.. The Accelerating Therapeutics for Opportunities in Medicine (ATOM) Consortium, formed by a public-private Cooperative Research and Development Agreement among GlaxoSmithKline (GSK), Lawrence Livermore National Laboratory (LLNL, for DOE), Frederick National Laboratory for Cancer Research (FNLCR, for NCI), and University of California, San Francisco (UCSF), aims to integrate the unique capabilities of high performance computing, new approaches to characterize cancer biology, and preclinical data access to implement new computational tools and technologies, validated empirically, to impact current drug discovery paradigms. The success of ATOM has the potential to fundamentally transform the treatment landscape for cancer, build a modern drug discovery platform for other diseases, and create the technology and computing infrastructure to enable the precision medicine era.
ATOM’s goal of evolving the cancer drug discovery process from an iterative, sequential make and test cycle to a network of in silico and high content experimental protocols designed by predictive simulation, deep learning, and high-performance analytics will require oncology and data science expertise, as well as technology development from a range of disciplines and domain areas. The workflow of ATOM is expected to require contributions from multiple scientific disciplines including computational technologies (e.g. supercomputing, machine/deep learning, active learning), multi-scale modeling (e.g. human pharmacokinetics, protein models, cell/tumor models), and experimental systems (e.g. advanced, ex vivo biological/organoid models). These wide-ranging domains are expected to yield a highly collaborative, trans-disciplinary research environment where scientists with diverse expertise can interact and share research, knowledge, and data.
KEY ROLES/RESPONSIBILITIES
Collaborate and coordinate with a diverse set of project stakeholders, including Leidos, consortium participants and other subject matter experts
Leverage technical expertise to benefit the project and client interactions
Provide logistical support through scheduling, facilitation, and participation in meetings to support collaborative activities with the NCI, Leidos and consortium participants
Lead development of monthly and ad hoc technical status reports to management, the NCI and other project stakeholders
BASIC QUALIFICATIONS
Knowledge of public, licensed and private data sources employed in pharmaceutical development
Familiarity with Pharmacokinetics (PK) and toxicity models and data employed for pharmaceutical development
Familiarity with consortia (public and private) supporting pharmaceutical development
Knowledge of data management processes
Knowledge of data curation process for preparing datasets
Possession of a master's degree in a quantitative or technology discipline from an accredited college or university according to the Council for Higher Education Accreditation. Foreign degrees must be evaluated for U.S. equivalency
In addition to the education requirements, a minimum eight (8) years of progressively responsible job-related experience
Must be able to obtain and maintain a security clearance
PREFERRED QUALIFICATIONS
*
Possession of a PhD in Computer Science, Math or Biomedical Science related field from
an accredited college or university. Foreign degrees must be evaluated for U.S.
equivalency.
Familiarity with use of artificial intelligence and high performance computing in pharmaceutical development
Expected Competencies:
Must be detail-oriented and possess strong organizational and analytical skills with the ability to prioritize multiple tasks/projects
Ability to work with ease in a fast paced, agile environment
Self-motivated and result-oriented, able to handle multiple projects efficiently
Excellent communication and interpersonal skills
Must be a team player
Equal Opportunity Employer (EOE)
Job Type: Full-time
Salary: $100,000.00 to $125,000.00 /year
Education:
Master's (Required)
Work authorization:
United States (Required)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Tuition reimbursement
This Company Describes Its Culture as:
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Schedule:
Monday to Friday",Indeed
Data Analyst,"Madison, WI",Heartland Credit Union,None,"The Data Analyst will oversee the collection, storage and transmission of data for all business areas of the credit union. This person will work with data generated by a wide variety of credit union systems to extract, validate and generate business reports that management will use in decision making. The Data Analyst will coordinate with various business areas to develop report specifications, track requests, and to document solutions implemented. This person must have great attention to detail, the ability to communicate and interpret information, analytical skills to work with large amounts of data, and technical skills required to maintain and transmit data in a secure environment. A college degree in math, statistics, computer science or another related field is strongly preferred.
Job Type: Full-time
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Professional development assistance",Indeed
Energy Efficiency Forecasting and Data Analyst,"Oak Brook, IL",ICF,None,"Energy Efficiency Forecasting and Data Analyst
Oakbrook, IL
Job Description:
T o su p port our growth we a re c u rr e ntly s e e ki n g a n analyst f or our En e rgy E ff ic ie ncy d i v i s ion to coordinate activities related to the implementation of commercial and industrial energy efficiency programs for our Illinois client. Our ICF team includes a cro s s - f unctional team organization of program management, outreach, technical services, program tracking, reporting and marketing. The Forecasting and Data Analyst will serve as the data scientist for the public sector program and provide expertise as needed across the contracted program portfolio. Additionally, the Data analyst will work with sub-contractors in the development of budget accruals, program performance forecasts both short and long term. The analyst will monitor and provide quality control and quality assurance duties related to the program’s database that tracks all projects and their status for the program. Management of this database will include tasks related to forecasting of future participation and budget expenditure for the program.
Responsibilities include:
Manage the d aily mai n tena n ce of program d ata b ase s , u tilized by the p rogram i m pl e me ntati o n t e am, to en s ure data integr i ty
Prepare r e ports to a ccur a t e ly d es cri b e a cti v it i e s in the f i e ld a n d to mo n itor progr es s to w a r d s p rogram goals on c u s to m e r part i cip a t i on a nd the co m pl e tion of el i g i ble p roje c ts
U tilize hi s to r ic data a n d s im u l atio n s to p roje c t a n nual prog r am p articipation
Maintain b u s in es s w ork f l o w d ocu me nts
Work with IT to impro v e d ata b ase s y s te m s a nd a rchite c t u r e
Ensure that the program is performing as expected, and explain forecasted variances to leadership
Collaborate with program managers to ensure all activities related to quality program delivery is executed
Maintain and update shared files, resources and program documents to ensure all program staff has access to latest versions of materials.
Perform reconciliation task between qualified leads stored in program CRM solution and Project Database
Identify opportunities to optimize forecasting models, program database and budget accruals
Basic Qualifications:
BS/BA degree in Engineering, Economics, Mathematics, Computer Science, Business Administration/Management or similar with 2-5 years related experience.
Proficiency in at least one statistical or scripting software such as R, STATA, SPSS, or Python
Proficiency using SQL for acquiring and transforming data
Advanced data visualization skills
Out s tanding anal y tical s kills a nd a tt e ntion to d e tail
Ad v a n c e d MS E x c e l exp e r i e n c e a nd skills
Exc e ll e nt v e r b al, i n terp e r s onal, a nd written co mm unication s kills
T i m e lin e s s a nd strong w ork e t hic
#LI-CC1
Working at ICF
Working at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe. We believe in collaboration, mutual respect, open communication, and opportunity for growth. If you’re seeking to make a difference in the world, visit www.icf.com/careers to find your next career. ICF—together for tomorrow.
ICF is an equal opportunity employer that values diversity at all levels. (EOE – Minorities/Females/ Protected Veterans Status/Disability Status/Sexual Orientation/Gender Identity)
Reasonable Accommodations are available for disabled veterans and applicants with disabilities in all phases of the application and employment process. To request an accommodation please email icfcareercenter@icf.com and we will be happy to assist. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. Read more about non-discrimination: EEO is the law and Pay Transparency Statement .
Oak Brook, IL (IL13)",Indeed
Data Analyst(Entry Level),"New York, NY",Codersdata,None,"What You'll Do:
Provide strategic insights derived from digital marketing, web event and sales data that drive marketing investment and customer experience decisions
Build compelling visualizations and interactive dashboards that enable us to democratize analytics
Utilize statistics to identify the significance, noise and correlation in data
Conduct hands-on advanced analytics using multiple data sources originating from different applications and systems
Build relationships with business teams and data science teams to identify opportunities for deep analytics on customer behavior and site performance
Work with data science, data architects, and business teams to ensure analysis and visualizations scale efficiently
Identify opportunities to use advanced analytics to develop new strategies and improve business performance
What we're looking for:
Experience in complex business analysis, digital analysis, or marketing analysis role
Bachelor's Degree in Math, Finance, Economics, Computer Science or other relevant degrees
Advanced proficiency in visualization tools such as Tableau or Power BI
Extensive experience in building SQL queries across complex relational database experience
Experience leveraging customer, digital, online and offline data together to aid customer targeting & segmentation
Demonstrated ability to synthesize data into actionable insights and communicate recommendations to leadership
Strong interpersonal and communication skills, with a track record of working well with business stakeholders
Knowledge of digital attribution and digital analytics is preferred
Statistical programming knowledge (e.g., R or Python) is preferred
Interview Type :
Telephonic & Skype
Job Types: Full-time, Contract
Salary: $70,000.00 to $80,000.00 /hour
Benefits:
Health insurance
Vision insurance
Paid time off
Relocation assistance
Professional development assistance
Schedule:
Monday to Friday
8 hour shift
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",Indeed
Data Analyst,"Chicago, IL 60606 (Loop area)",Riskonnect Inc,None,"Riskonnect, Inc. is the leading integrated risk management software solution provider that empowers organizations to anticipate, manage and respond in real-time to strategic and operational risks across the extended enterprise. Riskonnect is the only provider ranked in the leadership and visionary quadrants by world renowned industry analysts Gartner and Forrester. We employ more than 500 risk professionals in the Americas, EMEA and Asia Pacific and serve over 900 customers across 6 continents. The combination of innovative risk technology, a customer success mindset, and employee-first belief makes Riskonnect a sought after place to work.
Primary Role Responsibilities:
Support, maintain, and streamline data interfaces.
Troubleshoot data interface issues. Analyze data (claims data, client databases) to find issues and anomalies and provide quality assurance.
Enable automation; add efficiencies to coding. Clean up data/codes.
Act as first level client contact for data-related issues.
Assist clients; interface with internal colleagues (e.g., Support) to resolve client issues.
Coordinate with colleagues globally to ensure seamless support.
Required Qualifications:
Minimum 1 year of experience working in a SQL Server Management Studio environment
Working knowledge of query-writing, stored procedures, and views
Strong analytical skills and ability for problem-solving
Detail-oriented, organized, and self-motivated
Within Role Promotion Considerations Hiring of/promotion to Data Analyst, Senior Data Analyst, or Lead Data Analyst is based on a combination of:
Years of experience
Ability to meet or exceed key performance metrics
Superior display of relevant competencies
Knowledge of platform / technical expertise
Complexity of projects handled; ability to solve complex/escalated problems
Successful execution of project responsibilities from start to finish
Scope of work performed
Ability to lead/mentor less experienced analysts on larger projects
Key Performance Indicators
On-time delivery of data
Integrity of data
Turnaround of cases/issues
Successful automation
Timely communication
Number of accounts processed
Client satisfaction
Client relationship
Solid documentation
Helpful Qualifications:
ARMS certification
Microsoft SQL certification(s)
Database tools (e.g., Oracle)
Experience with Salesforce
Experience with Financial data sets, involving financial validation.",Indeed
Quality and Utilization Data Analyst,"Tacoma, WA",Optum,None,"Develop and maintain knowledge of measure specific inclusion and exclusion criteria for assigned Healthcare Effectiveness Data and Information Set (HEDIS) measure sets including: preventive screenings, disease management, and utilization management
Develop and maintain knowledge of key performance indicators related to Medicare risk adjustment and Hierarchical Condition Categories (HCCs)
Create ad hoc reports and queries
Effectively visualize and communicate the story in the data
Conduct quality control audits to ensure accuracy of data
Identify, correct, and/or assist in resolution of data quality errors
Collaborate with the utilization management and quality groups to participate in internal reliability studies
Collaborate with clinical coding educators and data abstractors to identify opportunities and provider and clinic education
Perform data scrubbing, trouble-shooting, quality checking, and usability analysis to identify anomalies, which need to be addressed prior to delivery of analytic results
Assist in problem solving and formulation of performance improvement strategies related to compliance with measurement specifications
Other duties as assigned",Indeed
Data Analyst,"Stoughton, MA 02072",Shields Health Solutions,None,"Business Overview:
As the first and largest specialty pharmacy integrator and accelerator, Shields Health Solutions is the industry leader in providing innovative and comprehensive care for the nation's chronically ill patient population. Shields builds and manages hospital-owned specialty pharmacies for hospitals and health systems who want to offer coordinated care services for patients with chronic illnesses. Using an integrated approach to patient care through our purpose built software platform, TelemetryRx, our Patient Liaison model, and our back-end clinical support team, Shields is redefining what it means to provide superior, fully-integrated patient care from clinic to pharmacy to patient's homes. Our innovative model and proven results in such a unique industry have led us to be one of the fastest growing healthcare companies in the nation with an immense impact on patients' lives.

General Description:
We are searching for an analytical and energetic team-member who is looking for a challenging career with a fast-growing company in HealthTech. We want to meet with those of you who measure yourself on results, statistical rigor, and quality. You should be as excited by data analytics as we are; gleaming insights from noise to portray a story that informs how we think about our business. Having the foresight to anticipate potential issues and the action-bias to propose solutions. We want to rely on you to complete your work without constant oversight; we will guide you along the way to success but do not micromanage. Most importantly, we all work together as members of a close-knit team, supporting and learning from one another. If you smile reading through this, we want you on our team.

Job Purpose:
Enable the success of our Data Analytics team including our innovative TelemetryRx platform. We will ask to you complete analyses of opportunities to attract new patients, improve our care model, and analyze the financial success of our business. Importantly, you will be a key member of the team that provides detailed data and quantitative analysis, statistics and trends reporting, and predictive modeling that support sales, operations, finance and executive teams.

Job Duties:
Achieves operational objectives by contributing information and detailed data analysis using R or similar programs;
Assist in developing data and quantitative analysis to build predictive models;
Prepare daily, weekly and monthly reports and provide insights on key company functions;
Optimize, monitor, and maintain existing reports;
Assist with ad hoc questions and data needs;
Develops, implements and maintains program forecasting models; track performance vs. forecast; communicates discrepancies to the organization;
Guides other departments by researching, analyzing and interpreting data;
Applies observations and recommendations to operational issues, increased productivity, quality, and customer-service standards;
Identifies trends, resolves problems; determines system improvements; implements change;
Reviews of new business opportunities to identify the impact to the financial outlook of the organization;
Actively participates in process improvement initiatives;
Acts as a strategic and value-added business partner to stakeholder throughout the organization;
Protects organization's value by keeping information confidential;
Updates job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations;
Is willing to do whatever is necessary for the betterment of the Company;
Other duties as assigned;

Experience/ Education:
Experience in quantitative and data analysis; predictive modeling; strong business judgment and overall analytics skills.
Demonstrated statistical and analytical ability with programming expertise in R.
Highly proficient in Microsoft Office particularly Excel; statistics and trends reporting; strong modeling and data aggregation, manipulation and mining is a must. Experience with SQL is a plus.
Energetic, highly motivated, organized, attention to detail; a team player with strong personal and communication skills; discretion and confidentiality essential as position deals with highly sensitive and private data.",Indeed
Entry Level Business Analyst,"New York, NY",Digi555,"$65,000 - $75,000 a year","We are looking to hire Entry Level Business Analyst position. The Business Analyst will support development projects by gathering requirements, and also helping to manage deliverable for the successful implementation of eCommerce solutions.
Responsibilities:
Review, understand and apply Avanade delivery standards
Perform scribe activities
Document project scope and assignments
Preparing (Functional Specification Documents)/Business Documents.
Good Organizational, analytical, Problem-solving,
Analyze operations key performance indicators and make recommendations to improve operational efficiency
Analyze customer data to improve experience and tailor servicing techniques to meet customer needs
Required Skills:
Bachelor’s or Masters degree
0-1 years of related experience.
Strong written and verbal communication across technology and business teams, including technical writing skills
Job Type: Full-time
Salary: $65,000.00 to $75,000.00 /year
Benefits:
Other",Indeed
